millesime;manifestation;num_site;name;description;animations;condition_acces;unesco;musee_national;parcours;adresse;logo;tarifs;accessibilite;www;info_mail;info_tel;resa_mail;resa_tel;visite;meta_insee;meta_siren;meta_datcreat;meta_datmaj;meta_datsupp;meta_millesime;meta_actif;lamb93_x;lamb93_y;gps_x_long;gps_y_lat;latitude;longitude
"2017";"Fête de la musique 2017";"7";"Les Organistes de Musique Sacrée, Orgue en Avignon et Chœur A Piacere";"Chœur (Chœur A Piacere) et orgue: Vivaldi";"";"18h45/19h15";"";"";"Musique classique";"31 Rue Carreterie";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845552.7623308969";"6318469.547895441";"4.813306999999998";"43.95018700002227";"43.95018700002227";"4.813306999999998"
"2017";"Fête de la musique 2017";"9";"Orchestre de chambre d'Avignon";"Musique Classique";"";"20h/21h";"";"";"Musique classique";"Parvis Saint Agricole";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844835.9916799198";"6318329.468816139";"4.804340664408416";"43.949074424057514";"43.949074424057514";"4.804340664408416"
"2017";"Fête de la musique 2017";"10";"Easy skanking";"Reggae, rocksteady";"";"22h/23h30";"";"";"Musique du monde";"Place  Londe";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845586.457689772";"6317948.607295963";"4.81357760012315";"43.94549299685006";"43.94549299685006";"4.81357760012315"
"2017";"Fête de la musique 2017";"29";"Kedge Buisness School";"Disco - house - electro";"";"19h/01h30";"";"";"Electro";"Cours Kennedy";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844955.147656174";"6317696.2303160345";"4.805644208782492";"43.943352491552446";"43.943352491552446";"4.805644208782492"
"2017";"Fête de la musique 2017";"30";"Musique d'été pour gens divers";"Funk, jazz, electronic baléaric,brazil disco, africa house, soulcaribbean, indie boogie, tribalrock, techno afrobeat.";"";"15h/01h30";"";"";"Musique actuelle";"15 Rue du Roi René";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845243.370948816";"6318003.058229223";"4.809320788997027";"43.9460537323828";"43.9460537323828";"4.809320788997027"
"2017";"Fête de la musique 2017";"32";"Association ""AVENIR LES OLIVADES""";"RockMaloyaMusiques actuellesSpectacle de chant et de danse";"";"14 h";"";"";"Rock";"2 rue Louis Valayer";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845926.6807184707";"6316095.984784023";"4.817283239798519";"43.928754190926455";"43.928754190926455";"4.817283239798519"
"2017";"Fête de la musique 2017";"33";"DJ's set: Two Diggers- Mr et Mme Benoit-Peck Live: Acumen";"Musiques actuelles et électroniques";"";"08h/01h30";"";"";"Musique actuelle";"Allées de l'Oulle";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844544.7258951649";"6318328.106556169";"4.800712999999998";"43.949122000022264";"43.949122000022264";"4.800712999999998"
"2017";"Fête de la musique 2017";"34";"Toutout'arts et l'Air De Rien";"Deux chorales avec des répertoires différents qui se réponden";"";"19h/20h30";"";"";"Chansons";"Place Bonnard";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"844674.7944181113";"6318327.829439179";"4.802332729716355";"43.94909280256067";"43.94909280256067";"4.802332729716355"
"2017";"Fête de la musique 2017";"35";"Herry Cultural Events Maker";"The songs of totems, blues, rock (guitare, voix, harmonica)";"";"20h/23h";"";"";"Rock";"17 Rue Portail Mathéron";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"845475.7197621007";"6318415.207372523";"4.812331999999999";"43.94971400002228";"43.94971400002228";"4.812331999999999"
"2017";"Fête de la musique 2017";"36";"Groupe Mistral";"Chanson traditionelles provençales";"";"14h/16h";"";"";"Musique du monde";"Clos de Massillargue";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"847642.368795085";"6318633.9024154";"4.839377808818752";"43.95123081419126";"43.95123081419126";"4.839377808818752"
"2017";"Fête de la musique 2017";"37";"Le Comptoir à Zic";"Formation traditionnelle- la pena de prestige ""Los Caballeros""";"";"14h/16h";"";"";"Musique du monde";"Parc Chico-Mendes";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"848224.3457622582";"6318123.3802373735";"4.846476931246385";"43.94651531855756";"43.94651531855756";"4.846476931246385"
"2017";"Fête de la musique 2017";"38";"Echo Musical";"Musique actuelle";"";"19h/20h";"";"";"Musique actuelle";"Place de l'Eglise";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"850248.801072192";"6316941.617369959";"4.871337999999998";"43.935454000022304";"43.935454000022304";"4.871337999999998"
"2017";"Fête de la musique 2017";"38";"Echo Musical";"Classique";"";"20h/22h";"";"";"Musique classique";"Place de l'Eglise";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"850248.801072192";"6316941.617369959";"4.871337999999998";"43.935454000022304";"43.935454000022304";"4.871337999999998"
"2017";"Fête de la musique 2017";"39";"Echo Musical";"Ensemble à cordes";"";"17h30/18h30";"";"";"Musique classique";"Parc de la Cantonne";"";"";"";"";"";"";"";"";"";"84007";"218400075";"20170614104218";"20170614104218";"";"2017";"t";"850321.704041995";"6317070.883442026";"4.872283828684926";"43.93660146134308";"43.93660146134308";"4.872283828684926"
